[2025-04-06 00:32:10] epoch 5 | loss:0.1461 | acc:0.9443 | time:94.79s
[2025-04-06 00:33:49] epoch 10 | loss:0.0558 | acc:0.9660 | time:97.88s
[2025-04-06 00:35:28] epoch 15 | loss:0.0291 | acc:0.9724 | time:97.01s
[2025-04-06 00:37:06] epoch 20 | loss:0.1696 | acc:0.9764 | time:97.02s
[2025-04-06 00:38:45] epoch 25 | loss:0.0023 | acc:0.9839 | time:98.10s
[2025-04-06 00:40:25] epoch 30 | loss:0.0218 | acc:0.9850 | time:98.12s
[2025-04-06 00:42:04] epoch 35 | loss:0.0034 | acc:0.9901 | time:98.14s
[2025-04-06 00:43:44] epoch 40 | loss:0.0002 | acc:0.9886 | time:98.23s
[2025-04-06 00:45:24] epoch 45 | loss:0.0062 | acc:0.9886 | time:98.67s
[2025-04-06 00:47:04] epoch 50 | loss:0.0006 | acc:0.9889 | time:99.10s
Finished Training! BATCH_SIZE=64, EPOCH=50, VAL_NUM=5
